**************************************
          TABELA DE SIMBOLOS          
**************************************

TOKEN	TIPO	TAMANHO	POSICAO
int	Type	3	(0, 0), (4, 1)
main	ID	4	(0, 4)
(	Keyword	1	(0, 8)
void	Type	4	(0, 9)
)	Keyword	1	(0, 13)
{	Keyword	1	(0, 15)
double	ID	6	(1, 1), (2, 1)
a	ID	1	(1, 8), (3, 9)
=	Keyword	1	(1, 10), (4, 11)
1	Int	1	(1, 12)
;	Keyword	1	(1, 13), (6, 8)
b	ID	1	(2, 8), (3, 13)
2	Int	1	(2, 12)
c	ID	1	(3, 5)
+	Sum	1	(3, 11)
teste	ID	5	(4, 5)
20	Int	2	(4, 13)
return	Keyword	6	(5, 1)
0	Int	1	(5, 8)
retorno	ID	7	(6, 1)
}	Keyword	1	(7, 0)

***************************************
