**************************************
          TABELA DE SIMBOLOS          
**************************************

LEXEMA		TOKEN		POSICAO
olaMun1		ID		(2, 1)
olaMun2		ID		(3, 1)
olaMun3		ID		(4, 1)
int		Type		(13, 2), (12, 2), (6, 1)
main		ID		(6, 5)
(		Keyword		(6, 9)
void		Type		(6, 10)
)		Keyword		(6, 14)
{		Keyword		(6, 16)
float		Type		(9, 2), (8, 2), (7, 2)
a		ID		(12, 10), (7, 8)
=		Keyword		(13, 8), (12, 8), (9, 13), (8, 10), (7, 10)
1		Int		(7, 12)
;		Keyword		(13, 13), (12, 13), (11, 9), (10, 2), (9, 15), (8, 13), (7, 13)
b		ID		(8, 8)
2		Int		(13, 10), (12, 12), (8, 12)
varF		ID		(9, 8)
boolher		ID		(11, 2)
j		ID		(13, 12), (12, 6)
*		MultOP		(13, 11), (12, 11)
i		ID		(13, 6)
}		Keyword		(19, 2)

***************************************
